EventID,NETSTATIONID,LATITUDE,LONGITUDE,MAGNITUDE
727122,CI.TIN,34.55,-117.43,5.35933666906
3378043,AZ.WMC,33.62,-116.47,3.94845155699
3378043,AZ.KNW,33.62,-116.47,3.75923867688
4768129,AZ.TONN,33.62,-116.47,6.33316194944
4417721,IM.I56H1,48.26,-117.13,nan
2842975,IM.NV07,48.26,-117.13,6.52759689422
3377755,CN.LLLB,48.93,-123.74,3.19962110909
3337553,TA.K02D,48.72,-122.71,6.70080042133
3320897,PO.MEDO,43.61,-80.06,4.69495212529
3327016,IU.HKT,34.95,-106.46,6.66447049025
2729575,IU.RSSD,34.95,-106.46,6.4954969548
3378043,IU.ANMO,34.95,-106.46,7.25796647862
2874984,CI.PHL,34.55,-117.43,nan
4768129,CI.Q0011,34.55,-117.43,6.54919017955
3378043,TA.W18A,32.89,-117.11,4.55023884827
2861200,CI.SNCC,34.55,-117.43,7.31861853169
3321934,UO.BUCK,44.20,-122.99,5.33595221578
3327016,TA.SUSD,27.06,-98.68,8.14868261929
4223014,TA.G05D,48.72,-122.71,5.32364290019
3334007,UO.PINE,44.20,-122.99,5.33870761089
2874984,IM.NV04,33.61,-116.46,1.44814315841
253032,CI.SBC,34.55,-117.43,4.84792699956
2793866,CN.VIB,48.93,-123.74,4.36178658361
4768129,UU.REUT,40.86,-112.18,7.85635508159
727122,AZ.FRD,33.62,-116.47,4.48797283924
3320897,PO.MEDO,43.61,-80.06,4.69495212529
3327016,IU.HKT,34.95,-106.46,6.66447049025
4768129,TA.R11A,32.89,-117.11,7.26330500926
2842975,AZ.SOL,33.62,-116.47,6.55869555662
4768129,CI.Q0042,34.55,-117.43,6.25003634898
769014,AZ.FRD,33.62,-116.47,8.03331886764
2874984,AZ.MTRP,33.62,-116.47,4.3321018951
4417721,UU.LKC,40.86,-112.18,8.02911738007
3320897,PO.PKRO,43.61,-80.06,5.00169924788
1684371,IM.NV04,33.61,-116.46,5.15688882601
2696929,IM.NV10,48.26,-117.13,5.03121376814
2708906,UO.DBO,44.20,-122.99,3.49137682513
2729575,CI.PLM,34.55,-117.43,5.56859241192
2863186,CN.VIB,48.93,-123.74,1.73334643041
2842975,TA.I05D,32.89,-117.11,8.97327522273
3334411,BK.SAO,40.88,-124.08,2.42496465261
